,,,Min_Tensile,Min_Yield,40,65,100,125,150,200,250,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900
MATERIAL,P-No.,Group No.,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa
SA–240-316L,8,1,485,170,115,106,96.3,91.3,87.4,81.2,76,72.5,71.2,70,68.8,67.5,66.3,65,63.8,62.8,61.2,59.9,58.8,57.8,57,43.4, … , … , … , … , … , … , … , … , … , … 
SA–240-316L (G5),8,1,485,170,115,115,115,115,115,109,103,98,95.7,94.1,92.8,90.9,89,87.8,86.6,84.4,82.6,80.9,79.4,76.5,58.5,43.4, … , … , … , … , … , … , … , … , … , … 
SA–240-316Ti,8,1,515,205,138,130,120,114,109,99.3,92.2,86.7,85,84.1,82.9,82,81.4,80.6,79.8,79.2,78.7,77.8,77.1,75,65.5,50.4,38.6,29.6,23,17.7,13.4,10.4,8.05, … , … , … 
SA–240-316Ti (G5),8,1,515,205,138,138,138,138,138,134,125,117,116,114,112,111,110,109,108,107,106,105,99.8,80.3,65.5,50.4,38.6,29.6,23,17.7,13.4,10.4,8.05, … , … , … 
SA–240-317,8,1,515,205,138,128,118,112,107,99.2,92.8,88.1,86.1,84.1,82.9,82,81.4,80.6,79.8,79.2,78.7,77.8,77.1,75,65.5,50.4,38.6,29.6,23,17.7,13.4,10.4,8.05, … , … , … 
SA–240-317 (G5),8,1,515,205,138,138,138,138,138,134,126,119,116,114,112,111,110,108,108,107,106,105,99.8,80.3,65.5,50.4,38.6,29.6,23,17.7,13.4,10.4,8.05, … , … , … 
SA–240-317L,8,1,515,205,138,127,115,109,105,97.1,91.2,87.3,85.4,83.8,82.5,80.6,79.4,78.1,76.9, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–240-317L (G5),8,1,515,205,138,138,138,137,135,131,123,118,116,113,111,109,107,105,103, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–240-321,8,1,515,205,138,130,123,118,114,106,99.7,94.5,92.3,90.7,89.4,87.5,86.9,85.7,85,83.9,83,77.6,59.2,44.8,32.9,24.5,18.3,12.6,8.41,6.18,4.37,2.77,1.62, … , … , … 
SA–240-321 (G5),8,1,515,205,138,138,138,135,132,129,129,127,125,123,120,119,117,115,114,113,112,94.6,59.2,44.8,32.9,24.5,18.3,12.6,8.41,6.18,4.37,2.77,1.62, … , … , … 
SA–240-321 (G5),8,1,515,205,138,138,138,135,132,129,129,127,125,123,121,119,117,115,114,113,111,87.4,57.5,44.4,32.9,24.5,18.3,12.6,8.41,6.18,4.37,2.77,1.62, … , … , … 
SA–240-321H,8,1,515,205,138,131,123,118,114,106,99.7,94.5,92.3,90.7,89.4,87.5,86.9,85.7,85,83.9,83,82.4,77.7,58.7,46,36.9,28.7,22.9,18.4,14.4,11.5,9.16,6.64, … , … , … 
SA–240-321H (G5),8,1,515,205,138,138,138,135,132,129,129,127,125,123,121,119,117,115,114,113,112,103,77.7,58.7,46,36.9,28.7,22.9,18.4,14.4,11.5,9.16,6.64, … , … , … 
SA–240-347,8,1,515,205,138,132,126,122,118,111,105,99.8,97.9,96.1,95,94.4,93.8,93.2,92.5,92.4,92.4,90.3,77.2,57.7,39.9,30,23.2,16.3,11.2,8.93,7.08,5.77,5.32, … , … , … 
SA–240-347 (G5),8,1,515,205,138,138,137,134,129,123,119,117,116,116,116,116,116,116,115,115,113,99.8,77.2,57.7,39.9,30,23.2,16.3,11.2,8.93,7.08,5.77,5.32, … , … , … 
SA–240-347H,8,1,515,205,138,132,126,122,118,111,105,99.8,97.9,96.1,95,94.4,93.8,93.2,92.5,92.4,92.4,92.4,92.2,89.1,69.3,53.9,41.4,31.8,23.9,18.8,14.6,10.8,7.83, … , … , … 
SA–240-347H (G5),8,1,515,205,138,138,137,134,129,123,119,117,116,116,116,116,116,116,115,115,114,113,109,92.3,69.3,53.9,41.4,31.8,23.9,18.8,14.6,10.8,7.83, … , … , … 
SA–240-410,6,1,450,205,128,128,126,125,123,120,119,117,115,114,111,108,104,100,89.9,69.2,50.9,37.8,26.4,18,11.6,6.68, … , … , … , … , … , … , … , … , … , … 
SA–240-410S,7,1,415,205,118,118,118,117,116,114,113,111,109,107,104,101,97.5,93,88.3,69.7,50.7,37.9,26.4,18,11.6,6.68, … , … , … , … , … , … , … , … , … , … 
